Fold,SubFold,SentID,Order,Word,,Segmentation,,,,,,,,,,,,,,,
3,B,196,12,ستارك,,ستارك,,,,3,A,,,,,,,,,,
3,B,196,13,هادو,,هادو,,,,3,A,,,,,,,,,,
3,B,196,14,لي,,لي,,,,3,A,,,,,,,,,,
3,B,196,15,هنا,,هنا,,,,3,A,,,,,,,,,,
3,B,196,16,مكمثلو,,م+ك+مثل+و,,,,3,A,,,,,,,,,,
3,B,196,17,حتى,,حتى,,,,3,A,,,,,,,,,,
3,B,196,18,باز,,باز,,,,3,A,,,,,,,,,,
3,B,196,19,تم,,تم,,,,3,A,,,,,,,,,,
3,B,196,20,لا,,لا,,,,3,A,,,,,,,,,,
3,B,196,21,حياة,,حيا+ة,,,,3,A,,,,,,,,,,
3,B,196,22,لمن,,ل+من,,,,3,A,,,,,,,,,,
3,B,196,23,تنادي,,تنادي,,,,3,A,,,,,,,,,,
3,B,196,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,A,197,1,قالك,,قال+ك,,,,1,A,,,,,,,,,,
4,A,197,2,علاش,,علاش,,,,1,A,,,,,,,,,,
4,A,197,3,حنان,,حنان,,,,1,A,,,,,,,,,,
4,A,197,4,تضحكعلاش,,تضحك علاش,,,,1,A,,,,,,,,,,
4,A,197,5,تشطح,,تشطح,,,,1,A,,,,,,,,,,
4,A,197,6,بنات,,بن+ات,,,,1,A,,,,,,,,,,
4,A,197,7,لي,,لي,,,,1,A,,,,,,,,,,
4,A,197,8,تما,,تما,,,,1,A,,,,,,,,,,
4,A,197,9,عادي,,عادي,,,,1,A,,,,,,,,,,
4,A,197,10,حلال,,حلال,,,,1,A,,,,,,,,,,
4,A,197,11,علبهم,,علب+هم,,,,1,A,,,,,,,,,,
4,A,197,12,هي,,هي,,,,1,A,,,,,,,,,,
4,A,197,13,مونيكانحكمو,,مونيكا نحكم+و,,,,1,A,,,,,,,,,,
4,A,197,14,فيها,,في+ها,,,,5,A,,,,,,,,,,
4,A,197,15,واش,,واش,,,,5,A,,,,,,,,,,
4,A,197,16,مشات,,مش+ات,,,,5,A,,,,,,,,,,
4,A,197,17,دير,,دير,,,,5,A,,,,,,,,,,
4,A,197,18,العمره,,ال+عمر+ة,,,,5,A,,,,,,,,,,
4,A,197,19,مقولتوش,,م+قول+تو+ش,,,,5,A,,,,,,,,,,
4,A,197,20,علاش,,علاش,,,,5,A,,,,,,,,,,
4,A,197,21,دخلت,,دخل+ت,,,,5,A,,,,,,,,,,
4,A,197,22,طوا,,طو+ا,,,,5,A,,,,,,,,,,
4,A,197,0,EOS,,EOS,,,,5,A,,,,,,,,,,
3,B,198,1,قلتلها,,قل+ت+ل+ها,,,,5,A,,,,,,,,,,
3,B,198,2,لمادا,,ل+مادا,,,,5,A,,,,,,,,,,
3,B,198,3,تغارين,,تغار+ين,,,,5,A,,,,,,,,,,
3,B,198,4,من,,من,,,,5,A,,,,,,,,,,
3,B,198,5,ابنتي,,ابن+ت+ي,,,,5,A,,,,,,,,,,
3,B,198,6,سوسو,,سوسو,,,,5,A,,,,,,,,,,
3,B,198,7,لانها,,لان+ها,,,,5,A,,,,,,,,,,
3,B,198,8,تعرف,,تعرف,,,,5,A,,,,,,,,,,
3,B,198,9,تطبخ,,تطبخ,,,,5,A,,,,,,,,,,
3,B,198,10,الفلو,,ال+فلو,,,,5,A,,,,,,,,,,
3,B,198,11,نوع,,نوع,,,,5,A,,,,,,,,,,
3,B,198,12,من,,من,,,,5,A,,,,,,,,,,
3,B,198,13,الحلوي,,ال+حلوي,,,,5,A,,,,,,,,,,
3,B,198,14,تاع,,تاع,,,,5,A,,,,,,,,,,
3,B,198,15,الشكولا,,ال+شكولا,,,,5,A,,,,,,,,,,
3,B,198,0,EOS,,EOS,,,,5,A,,,,,,,,,,
4,A,199,1,قلنالك,,قل+نا+ل+ك,,,,5,A,,,,,,,,,,
4,A,199,2,يرمضنو,,يرمضن+و,,,,5,A,,,,,,,,,,
4,A,199,3,تاع,,تاع,,,,5,A,,,,,,,,,,
4,A,199,4,الصح,,ال+صح,,,,5,A,,,,,,,,,,
4,A,199,5,انا,,أنا,,,,5,A,,,,,,,,,,
4,A,199,6,اصلا,,اصل+ا,,,,5,A,,,,,,,,,,
4,A,199,7,قابلة,,قابل+ة,,,,5,A,,,,,,,,,,
4,A,199,8,نصوم,,نصوم,,,,5,A,,,,,,,,,,
4,A,199,9,الليل,,ال+ليل,,,,5,A,,,,,,,,,,
4,A,199,10,مع,,مع,,,,5,A,,,,,,,,,,
4,A,199,11,النهار,,ال+نهار,,,,5,A,,,,,,,,,,
4,A,199,12,المهم,,ال+مهم,,,,5,A,,,,,,,,,,
4,A,199,13,نشوفهم,,نشوف+هم,,,,5,A,,,,,,,,,,
4,A,199,14,مع,,مع,,,,5,A,,,,,,,,,,
4,A,199,15,بعض,,بعض,,,,5,A,,,,,,,,,,
4,A,199,16,و,,و,,,,5,A,,,,,,,,,,
4,A,199,17,نشفى,,نشفى,,,,5,A,,,,,,,,,,
4,A,199,18,فالبيسروالي,,ف+ال+بيسروالي,,,,5,A,,,,,,,,,,
4,A,199,19,قيييييييو,,قيو,,,,5,A,,,,,,,,,,
4,A,199,20,و,,و,,,,5,A,,,,,,,,,,
4,A,199,0,EOS,,EOS,,,,5,A,,,,,,,,,,
2,B,200,1,قولونا,,قول+و+نا,,,,5,A,,,,,,,,,,
2,B,200,2,برك,,برك,,,,5,A,,,,,,,,,,
2,B,200,3,باش,,باش,,,,5,A,,,,,,,,,,
2,B,200,4,نفهمو,,نفهم+و,,,,5,A,,,,,,,,,,
2,B,200,5,هل,,هل,,,,5,A,,,,,,,,,,
2,B,200,6,تشجعون,,تشجع+ون,,,,5,A,,,,,,,,,,
2,B,200,7,سهيلة,,سهيلة,,,,5,A,,,,,,,,,,
2,B,200,8,من,,من,,,,5,A,,,,,,,,,,
2,B,200,9,اجل,,اجل,,,,5,A,,,,,,,,,,
2,B,200,10,سهيله,,سهيله,,,,5,A,,,,,,,,,,
2,B,200,11,ايهاب,,ايهاب,,,,5,A,,,,,,,,,,
2,B,200,12,في,,في,,,,5,A,,,,,,,,,,
2,B,200,13,موازين,,موازين,,,,5,A,,,,,,,,,,
2,B,200,0,EOS,,EOS,,,,5,A,,,,,,,,,,
5,A,201,1,قولي,,قول+ي,,,,4,A,,,,,,,,,,
5,A,201,2,واش,,واش,,,,4,A,,,,,,,,,,
5,A,201,3,صرا,,صر+ا,,,,4,A,,,,,,,,,,
5,A,201,4,متقلقيناش,,م+تقلق+ين+اش,,,,4,A,,,,,,,,,,
5,A,201,5,هدري,,هدر+ي,,,,4,A,,,,,,,,,,
5,A,201,6,شا,,شا,,,,4,A,,,,,,,,,,
5,A,201,7,كاين,,كاين,,,,4,A,,,,,,,,,,
5,A,201,8,مستحيل,,مستحيل,,,,4,A,,,,,,,,,,
5,A,201,9,هد,,هد,,,,4,A,,,,,,,,,,
5,A,201,10,شي,,شي,,,,4,A,,,,,,,,,,
5,A,201,11,لراكي,,ل+راك+ي,,,,4,A,,,,,,,,,,
5,A,201,12,تقوليه,,تقول+ي+ه,,,,4,A,,,,,,,,,,
5,A,201,13,مشي,,مشي,,,,4,A,,,,,,,,,,
5,A,201,14,معقول,,معقول,,,,4,A,,,,,,,,,,
5,A,201,0,EOS,,EOS,,,,4,A,,,,,,,,,,
3,A,202,1,قي,,قي,,,,4,A,,,,,,,,,,
3,A,202,2,كانت,,كان+ت,,,,4,A,,,,,,,,,,
3,A,202,3,غادا,,غادا,,,,4,A,,,,,,,,,,
3,A,202,4,قدامي,,قدام+ي,,,,4,A,,,,,,,,,,
3,A,202,5,واحد,,واحد,,,,4,A,,,,,,,,,,
3,A,202,6,المراة,,ال+مرا+ة,,,,4,A,,,,,,,,,,
3,A,202,7,مسنة,,مسن+ة,,,,4,A,,,,,,,,,,
3,A,202,8,تعكلت,,تعكل+ت,,,,4,A,,,,,,,,,,
3,A,202,9,و,,و,,,,4,A,,,,,,,,,,
3,A,202,10,طاحت,,طاح+ت,,,,4,A,,,,,,,,,,
3,A,202,11,وانا,,و+أنا,,,,4,A,,,,,,,,,,
3,A,202,12,كنوض,,ك+نوض,,,,4,A,,,,,,,,,,
3,A,202,13,فيها,,في+ها,,,,4,A,,,,,,,,,,
3,A,202,14,گلت,,كل+ت,,,,4,A,,,,,,,,,,
3,A,202,15,ليها,,لي+ها,,,,4,A,,,,,,,,,,
3,A,202,16,لاباس,,لا+باس,,,,4,A,,,,,,,,,,
3,A,202,17,أ,,أ,,,,4,A,,,,,,,,,,
3,A,202,18,ميمتي,,ميم+ت+ي,,,,2,A,,,,,,,,,,
3,A,202,19,تكبري,,تكبر+ي,,,,2,A,,,,,,,,,,
3,A,202,20,و,,و,,,,2,A,,,,,,,,,,
3,A,202,21,تنساي,,تنسا+ي,,,,2,A,,,,,,,,,,
3,A,202,22,وهي,,و+هي,,,,2,A,,,,,,,,,,
3,A,202,23,تفرگع,,تفركع,,,,2,A,,,,,,,,,,
3,A,202,24,بالضحك,,ب+ال+ضحك,,,,2,A,,,,,,,,,,
3,A,202,25,و,,و,,,,2,A,,,,,,,,,,
3,A,202,26,د,,د,,,,2,A,,,,,,,,,,
3,A,202,0,EOS,,EOS,,,,2,A,,,,,,,,,,
3,A,203,1,كاميليا,,كاميليا,,,,2,A,,,,,,,,,,
3,A,203,2,راه,,را+ه,,,,2,A,,,,,,,,,,
3,A,203,3,طايحة,,طايح+ة,,,,2,A,,,,,,,,,,
3,A,203,4,مع,,مع,,,,2,A,,,,,,,,,,
3,A,203,5,خلايجة,,خلايجة,,,,2,A,,,,,,,,,,
3,A,203,6,و,,و,,,,2,A,,,,,,,,,,
3,A,203,7,دايرا,,داير+ا,,,,2,A,,,,,,,,,,
3,A,203,8,فيها,,في+ها,,,,2,A,,,,,,,,,,
3,A,203,9,مغربية,,مغربي+ة,,,,2,A,,,,,,,,,,
3,A,203,10,ديال,,ديال,,,,1,A,,,,,,,,,,
3,A,203,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,B,204,1,كان,,كان,,,,1,A,,,,,,,,,,
4,B,204,2,عندهم,,عند+هم,,,,1,A,,,,,,,,,,
4,B,204,3,الفهد,,ال+فهد,,,,1,A,,,,,,,,,,
4,B,204,4,بحال,,ب+حال,,,,1,A,,,,,,,,,,
4,B,204,5,السراق,,ال+سراق,,,,1,A,,,,,,,,,,
4,B,204,6,زيت,,زيت,,,,1,A,,,,,,,,,,
4,B,204,7,ديالنا,,ديال+نا,,,,1,A,,,,,,,,,,
4,B,204,8,دابا,,دابا,,,,1,A,,,,,,,,,,
4,B,204,9,هههههه,,هههههه,,,,1,A,,,,,,,,,,
4,B,204,0,EOS,,EOS,,,,1,A,,,,,,,,,,
2,B,205,1,كانتفارضو,,ك+انتفارض+و,,,,1,A,,,,,,,,,,
2,B,205,2,فالميكا,,ف+ال+ميكا,,,,1,A,,,,,,,,,,
2,B,205,3,ديال,,ديال,,,,1,A,,,,,,,,,,
2,B,205,4,الكارو,,ال+كارو,,,,1,A,,,,,,,,,,
2,B,205,5,لطبلة,,ل+طبل+ة,,,,1,A,,,,,,,,,,
2,B,205,6,وكولا,,و+كولا,,,,1,A,,,,,,,,,,
2,B,205,7,نهار,,نهار,,,,1,A,,,,,,,,,,
2,B,205,8,كايديها,,كايد+ي+ها,,,,1,A,,,,,,,,,,
2,B,205,9,معاع,,معاع,,,,2,A,,,,,,,,,,
2,B,205,10,واحد,,واحد,,,,2,A,,,,,,,,,,
2,B,205,11,لدار,,ل+دار,,,,2,A,,,,,,,,,,
2,B,205,0,EOS,,EOS,,,,2,A,,,,,,,,,,
4,B,206,1,كاين,,كاين,,,,2,A,,,,,,,,,,
4,B,206,2,شي,,شي,,,,2,A,,,,,,,,,,
4,B,206,3,مصرين,,مصر+ين,,,,2,A,,,,,,,,,,
4,B,206,4,عادي,,عادي,,,,2,A,,,,,,,,,,
4,B,206,5,اسبو,,اسب+و,,,,2,A,,,,,,,,,,
4,B,206,6,الدول,,ال+دول,,,,4,A,,,,,,,,,,
4,B,206,7,فاش,,فاش,,,,4,A,,,,,,,,,,
4,B,206,8,كايجي,,كا+يجي,,,,4,A,,,,,,,,,,
4,B,206,9,شي,,شي,,,,4,A,,,,,,,,,,
4,B,206,10,حد,,حد,,,,4,A,,,,,,,,,,
4,B,206,11,ارد,,ارد,,,,4,A,,,,,,,,,,
4,B,206,12,ليهم,,لي+هم,,,,4,A,,,,,,,,,,
4,B,206,13,صرف,,صرف,,,,4,A,,,,,,,,,,
4,B,206,14,كيقلبو,,ك+يقلب+و,,,,4,A,,,,,,,,,,
4,B,206,15,دنيا,,دنيا,,,,4,A,,,,,,,,,,
4,B,206,16,كيفما,,كيفما,,,,4,A,,,,,,,,,,
4,B,206,17,متبغيو,,م+تبغي+و,,,,4,A,,,,,,,,,,
4,B,206,18,ليسبكم,,ل+يسب+كم,,,,4,A,,,,,,,,,,
4,B,206,19,حتى,,حتى,,,,4,A,,,,,,,,,,
4,B,206,20,حنا,,حنا,,,,4,A,,,,,,,,,,
4,B,206,21,فينا,,في+نا,,,,4,A,,,,,,,,,,
4,B,206,22,نفس,,نفس,,,,1,A,,,,,,,,,,
4,B,206,23,على,,على,,,,1,A,,,,,,,,,,
4,B,206,24,بلدنا,,بلد+نا,,,,1,A,,,,,,,,,,
4,B,206,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,A,207,1,كاينة,,كاين+ة,,,,1,A,,,,,,,,,,
4,A,207,2,المغاربية,,ال+مغاربي+ة,,,,1,A,,,,,,,,,,
4,A,207,3,اللي,,اللي,,,,1,A,,,,,,,,,,
4,A,207,4,راني,,را+ني,,,,1,A,,,,,,,,,,
4,A,207,5,نشوف,,نشوف,,,,1,A,,,,,,,,,,
4,A,207,6,فيها,,في+ها,,,,1,A,,,,,,,,,,
4,A,207,7,شوية,,شوي+ة,,,,1,A,,,,,,,,,,
4,A,207,8,وبدات,,و+بدأ+ت,,,,1,A,,,,,,,,,,
4,A,207,9,تخرف,,تخرف,,,,1,A,,,,,,,,,,
4,A,207,10,احيانا,,أحيان+ا,,,,1,A,,,,,,,,,,
4,A,207,0,EOS,,EOS,,,,1,A,,,,,,,,,,
4,B,208,1,كاينة,,كاين+ة,,,,1,A,,,,,,,,,,
4,B,208,2,لي,,لي,,,,1,A,,,,,,,,,,
4,B,208,3,يعري,,يعري,,,,1,A,,,,,,,,,,
4,B,208,4,الناس,,ال+ناس,,,,1,A,,,,,,,,,,
4,B,208,5,يجيب,,يجيب,,,,1,A,,,,,,,,,,
4,B,208,6,ربي,,رب+ي,,,,1,A,,,,,,,,,,
4,B,208,7,لي,,لي,,,,1,A,,,,,,,,,,
4,B,208,8,يفضحو,,يفضح+و,,,,1,A,,,,,,,,,,
4,B,208,0,EOS,,EOS,,,,1,A,,,,,,,,,,
3,A,209,1,كاينة,,كاين+ة,,,,1,A,,,,,,,,,,
3,A,209,2,ونص,,و+نص,,,,1,A,,,,,,,,,,
3,A,209,3,و,,و,,,,5,A,,,,,,,,,,
3,A,209,4,اذا,,اذا,,,,5,A,,,,,,,,,,
3,A,209,5,ماكيناش,,ما+كين+اش,,,,5,A,,,,,,,,,,
3,A,209,6,نخليها,,نخل+ي+ها,,,,5,A,,,,,,,,,,
3,A,209,7,تكنكش,,تكنكش,,,,5,A,,,,,,,,,,
3,A,209,8,عشان,,عشان,,,,5,A,,,,,,,,,,
3,A,209,9,اختي,,أخت+ي,,,,5,A,,,,,,,,,,
3,A,209,10,الغالية,,ال+غالي+ة,,,,5,A,,,,,,,,,,
3,A,209,11,هههه,,هههه,,,,5,A,,,,,,,,,,
3,A,209,0,EOS,,EOS,,,,5,A,,,,,,,,,,
2,B,210,1,كاينودك,,ك+اينود+ك,,,,5,A,,,,,,,,,,
2,B,210,2,الاستاد,,ال+استاد,,,,5,A,,,,,,,,,,
2,B,210,3,لسبورة,,ل+سبور+ة,,,,5,A,,,,,,,,,,
2,B,210,4,باش,,باش,,,,5,A,,,,,,,,,,
2,B,210,5,تقيد,,تقيد,,,,5,A,,,,,,,,,,
2,B,210,6,شكون,,شكون,,,,5,A,,,,,,,,,,
2,B,210,7,كيهدر,,ك+يهدر,,,,5,A,,,,,,,,,,
2,B,210,8,و,,و,,,,5,A,,,,,,,,,,
2,B,210,9,كادير,,ك+ادير,,,,5,A,,,,,,,,,,
2,B,210,10,زووين,,زوو+ين,,,,5,A,,,,,,,,,,
2,B,210,11,معا,,معا,,,,5,A,,,,,,,,,,
2,B,210,12,لعشران,,ل+عشر+ان,,,,1,A,,,,,,,,,,
2,B,210,0,EOS,,EOS,,,,1,A,,,,,,,,,,
1,A,211,1,كبروا,,كبر+وا,,,,1,A,,,,,,,,,,
1,A,211,2,عقلكم,,عقل+كم,,,,1,A,,,,,,,,,,
1,A,211,3,شويا,,شويا,,,,1,A,,,,,,,,,,
1,A,211,4,و,,و,,,,1,A,,,,,,,,,,
1,A,211,5,كونوا,,كون+وا,,,,1,A,,,,,,,,,,
1,A,211,6,فانز,,فانز,,,,1,A,,,,,,,,,,
1,A,211,7,راقي,,راقي,,,,1,A,,,,,,,,,,
1,A,211,8,و,,و,,,,1,A,,,,,,,,,,
1,A,211,9,حنان,,حنان,,,,1,A,,,,,,,,,,
1,A,211,10,تتمثل,,تتمثل,,,,1,A,,,,,,,,,,
1,A,211,11,المغرب,,ال+مغرب,,,,1,A,,,,,,,,,,
1,A,211,12,و,,و,,,,1,A,,,,,,,,,,
1,A,211,13,بنت,,بنت,,,,1,A,,,,,,,,,,
1,A,211,14,المغرب,,ال+مغرب,,,,1,A,,,,,,,,,,
1,A,211,15,غصبا,,غصب+ا,,,,1,A,,,,,,,,,,
1,A,211,16,عن,,عن,,,,1,A,,,,,,,,,,
1,A,211,17,الكل,,ال+كل,,,,1,A,,,,,,,,,,
1,A,211,18,لي,,لي,,,,1,A,,,,,,,,,,
1,A,211,19,غادي,,غادي,,,,1,A,,,,,,,,,,
1,A,211,20,يشجعها,,يشجع+ها,,,,1,A,,,,,,,,,,
1,A,211,21,مرحبا,,مرحبا,,,,1,A,,,,,,,,,,
1,A,211,22,لي,,لي,,,,1,A,,,,,,,,,,
1,A,211,23,لا,,لا,,,,1,A,,,,,,,,,,
1,A,211,24,يجمع,,يجمع,,,,2,A,,,,,,,,,,
1,A,211,25,راسو,,راس+و,,,,2,A,,,,,,,,,,
1,A,211,26,بزربا,,ب+زربا,,,,2,A,,,,,,,,,,
1,A,211,0,EOS,,EOS,,,,2,A,,,,,,,,,,
2,B,212,1,كل,,كل,,,,2,A,,,,,,,,,,
2,B,212,2,شوي,,شوي,,,,2,A,,,,,,,,,,
2,B,212,3,صوت,,صوت,,,,2,A,,,,,,,,,,
2,B,212,4,اختر,,اختر,,,,2,A,,,,,,,,,,
2,B,212,5,مع,,مع,,,,2,A,,,,,,,,,,
2,B,212,6,مين,,مين,,,,2,A,,,,,,,,,,
2,B,212,7,ضد,,ضد,,,,2,A,,,,,,,,,,
2,B,212,8,او,,أو,,,,2,A,,,,,,,,,,
2,B,212,9,مع,,مع,,,,2,A,,,,,,,,,,
2,B,212,10,نعم,,نعم,,,,2,A,,,,,,,,,,
2,B,212,11,او,,أو,,,,2,A,,,,,,,,,,
2,B,212,12,لا,,لا,,,,2,A,,,,,,,,,,
2,B,212,13,قرفتولي,,قرف+تو+ل+ي,,,,2,A,,,,,,,,,,
2,B,212,14,عيشتي,,عيش+ت+ي,,,,2,A,,,,,,,,,,
2,B,212,15,انا,,أنا,,,,3,A,,,,,,,,,,
2,B,212,16,جزايرية,,جزايري+ة,,,,3,A,,,,,,,,,,
2,B,212,17,و,,و,,,,3,A,,,,,,,,,,
2,B,212,18,اصول,,أصول,,,,3,A,,,,,,,,,,
2,B,212,19,مغربة,,مغرب+ة,,,,3,A,,,,,,,,,,
2,B,212,20,ونعشق,,و+نعشق,,,,3,A,,,,,,,,,,
2,B,212,21,فلسطين,,فلسطين,,,,3,A,,,,,,,,,,
2,B,212,22,وسعودية,,و+سعودي+ة,,,,3,A,,,,,,,,,,
2,B,212,23,واش,,واش,,,,3,A,,,,,,,,,,
2,B,212,24,نصوت,,نصوت,,,,3,A,,,,,,,,,,
2,B,212,25,وين,,وين,,,,3,A,,,,,,,,,,
2,B,212,26,صوتو,,صوت+و,,,,3,A,,,,,,,,,,
2,B,212,27,ف,,ف,,,,3,A,,,,,,,,,,
2,B,212,0,EOS,,EOS,,,,3,A,,,,,,,,,,
1,B,213,1,كل,,كل,,,,3,A,,,,,,,,,,
1,B,213,2,شي,,شي,,,,3,A,,,,,,,,,,
1,B,213,3,نسيتوه,,نسيت+و+ه,,,,3,A,,,,,,,,,,
1,B,213,4,نسيتو,,نسيت+و,,,,1,A,,,,,,,,,,
1,B,213,5,البكا,,ال+بكا,,,,1,A,,,,,,,,,,
1,B,213,6,لي,,لي,,,,1,A,,,,,,,,,,
1,B,213,7,بكيناه,,بكي+نا+ه,,,,1,A,,,,,,,,,,
1,B,213,8,يوم,,يوم,,,,1,A,,,,,,,,,,
1,B,213,9,طاولة,,طاول+ة,,,,1,A,,,,,,,,,,
1,B,213,10,العار,,ال+عار,,,,1,A,,,,,,,,,,
1,B,213,11,وكيفاه,,و+كيف+اه,,,,1,A,,,,,,,,,,
1,B,213,12,انيس,,انيس,,,,1,A,,,,,,,,,,
1,B,213,13,عاملها,,عامل+ها,,,,1,A,,,,,,,,,,
1,B,213,14,كيفاه,,كيفاه,,,,1,A,,,,,,,,,,
1,B,213,15,قالها,,قال+ها,,,,1,A,,,,,,,,,,
1,B,213,16,من,,من,,,,1,A,,,,,,,,,,
1,B,213,17,عباس,,عباس,,,,1,A,,,,,,,,,,
1,B,213,18,لايهاب,,ل+ايهاب,,,,1,A,,,,,,,,,,
1,B,213,19,كي,,كي,,,,1,A,,,,,,,,,,
1,B,213,20,قال,,قال,,,,1,A,,,,,,,,,,
1,B,213,21,صوتو,,صوت+و,,,,3,A,,,,,,,,,,
1,B,213,22,لسعد,,ل+سعد,,,,3,A,,,,,,,,,,
1,B,213,23,ومرتضى,,و+مرتضى,,,,3,A,,,,,,,,,,
1,B,213,0,EOS,,EOS,,,,3,A,,,,,,,,,,
5,A,214,1,كل,,كل,,,,3,A,,,,,,,,,,
5,A,214,2,عام,,عام,,,,3,A,,,,,,,,,,
5,A,214,3,سوها,,سوها,,,,3,A,,,,,,,,,,
5,A,214,4,و,,و,,,,3,A,,,,,,,,,,
5,A,214,5,نتي,,نت+ي,,,,3,A,,,,,,,,,,
5,A,214,6,و,,و,,,,3,A,,,,,,,,,,
5,A,214,7,عايلتك,,عايل+ت+ك,,,,3,A,,,,,,,,,,
5,A,214,8,و,,و,,,,3,A,,,,,,,,,,
5,A,214,9,حبابك,,حباب+ك,,,,3,A,,,,,,,,,,
5,A,214,10,بالف,,ب+الف,,,,3,A,,,,,,,,,,
5,A,214,11,خير,,خير,,,,3,A,,,,,,,,,,
5,A,214,12,نشالله,,نشالله,,,,3,A,,,,,,,,,,
5,A,214,13,هاد,,هاد,,,,3,A,,,,,,,,,,
5,A,214,14,العام,,ال+عام,,,,3,A,,,,,,,,,,
5,A,214,15,عامك,,عام+ك,,,,3,A,,,,,,,,,,
5,A,214,16,عام,,عام,,,,3,A,,,,,,,,,,
5,A,214,17,تكسير,,تكسير,,,,3,A,,,,,,,,,,
5,A,214,18,الدنيا,,ال+دنيا,,,,3,A,,,,,,,,,,
5,A,214,19,ربي,,رب+ي,,,,3,A,,,,,,,,,,
5,A,214,20,معاك,,معا+ك,,,,3,A,,,,,,,,,,
5,A,214,21,سوسو,,سوسو,,,,1,A,,,,,,,,,,
5,A,214,22,و,,و,,,,1,A,,,,,,,,,,
5,A,214,23,رانا,,را+نا,,,,1,A,,,,,,,,,,
5,A,214,24,هن,,هن,,,,1,A,,,,,,,,,,
5,A,214,0,EOS,,EOS,,,,1,A,,,,,,,,,,
5,A,215,1,كل,,كل,,,,1,A,,,,,,,,,,
5,A,215,2,فانزولادنا,,فانز ولاد+نا,,,,1,A,,,,,,,,,,
5,A,215,3,غي,,غي,,,,1,A,,,,,,,,,,
5,A,215,4,التشجيع,,ال+تشجيع,,,,1,A,,,,,,,,,,
5,A,215,5,لا,,لا,,,,1,A,,,,,,,,,,
5,A,215,6,سيرة,,سير+ة,,,,1,A,,,,,,,,,,
5,A,215,7,شمكار,,شمكار,,,,1,A,,,,,,,,,,
5,A,215,8,لا,,لا,,,,1,A,,,,,,,,,,
5,A,215,9,بسباس,,بسباس,,,,1,A,,,,,,,,,,
5,A,215,10,لا,,لا,,,,1,A,,,,,,,,,,
5,A,215,11,والو,,والو,,,,1,A,,,,,,,,,,
5,A,215,12,دعم,,دعم,,,,1,A,,,,,,,,,,
5,A,215,13,وبس,,و+بس,,,,1,A,,,,,,,,,,
5,A,215,14,وتجاهل,,و+تجاهل,,,,1,A,,,,,,,,,,
5,A,215,15,تام,,تام,,,,1,A,,,,,,,,,,
5,A,215,16,للبقية,,ل+ال+بقي+ة,,,,1,A,,,,,,,,,,
5,A,215,0,EOS,,EOS,,,,1,A,,,,,,,,,,
5,A,216,1,كل,,كل,,,,1,A,,,,,,,,,,
5,A,216,2,مصاريف,,مصاريف,,,,1,A,,,,,,,,,,
5,A,216,3,البرنامج,,ال+برنامج,,,,2,A,,,,,,,,,,
5,A,216,4,صايرة,,صاير+ة,,,,2,A,,,,,,,,,,
5,A,216,5,من,,من,,,,2,A,,,,,,,,,,
5,A,216,6,المغرب,,ال+مغرب,,,,2,A,,,,,,,,,,
5,A,216,7,العربي,,ال+عربي,,,,2,A,,,,,,,,,,
5,A,216,8,واش,,واش,,,,2,A,,,,,,,,,,
5,A,216,9,جبناكم,,جبنا+كم,,,,2,A,,,,,,,,,,
5,A,216,10,ونسيناكم,,و+نسي+نا+كم,,,,2,A,,,,,,,,,,
5,A,216,0,EOS,,EOS,,,,2,A,,,,,,,,,,
2,B,217,1,كل,,كل,,,,2,A,,,,,,,,,,
2,B,217,2,واحد,,واحد,,,,2,A,,,,,,,,,,
2,B,217,3,يجيب,,يجيب,,,,2,A,,,,,,,,,,
2,B,217,4,النص,,ال+نص,,,,2,A,,,,,,,,,,
2,B,217,5,ديال,,ديال,,,,2,A,,,,,,,,,,
2,B,217,6,لكتوبا,,ل+كتوبا,,,,2,A,,,,,,,,,,
2,B,217,7,وحط,,و+حط,,,,2,A,,,,,,,,,,
2,B,217,8,الكتاب,,ال+كتاب,,,,2,A,,,,,,,,,,
2,B,217,9,فوسط,,ف+وسط,,,,2,A,,,,,,,,,,
2,B,217,10,الطبلة,,ال+طبل+ة,,,,2,A,,,,,,,,,,
2,B,217,0,EOS,,EOS,,,,2,A,,,,,,,,,,
2,B,218,1,كلشي,,كلشي,,,,2,A,,,,,,,,,,
2,B,218,2,يتفاعل,,يتفاعل,,,,2,A,,,,,,,,,,
2,B,218,3,يوصل,,يوصل,,,,2,A,,,,,,,,,,
2,B,218,4,فاتي,,فاتي,,,,5,A,,,,,,,,,,
2,B,218,5,وامها,,و+ام+ها,,,,5,A,,,,,,,,,,
2,B,218,6,تعود,,تعود,,,,5,A,,,,,,,,,,
2,B,218,7,تنبهها,,تنبه+ها,,,,5,A,,,,,,,,,,
2,B,218,8,تفاعل,,تفاعل,,,,5,A,,,,,,,,,,
2,B,218,9,مع,,مع,,,,5,A,,,,,,,,,,
2,B,218,10,هاد,,هاد,,,,5,A,,,,,,,,,,
2,B,218,11,تاغ,,تاغ,,,,5,A,,,,,,,,,,
2,B,218,12,رفييل,,رفييل,,,,5,A,,,,,,,,,,
2,B,218,13,مكروه,,مكروه,,,,5,A,,,,,,,,,,
2,B,218,14,المغاربة,,ال+مغارب+ة,,,,5,A,,,,,,,,,,
